journal_id,date,account_code,description,debit,credit,external_reference
JE-1001,2026-08-02,1000,Client payment received,1200.00,0.00,DEP-8101
JE-1001,2026-08-02,1100,Client payment received,0.00,1200.00,DEP-8101
JE-1002,2026-08-05,6100,Software subscription,85.00,0.00,ACH-8102
JE-1002,2026-08-05,1000,Software subscription,0.00,85.00,ACH-8102
JE-1003,2026-08-08,1000,Office supplies,0.00,44.00,ACH-8103
JE-1003,2026-08-08,6200,Office supplies,44.00,0.00,ACH-8103
JE-1004,2026-08-12,6100,Unbalanced sample entry,50.00,0.00,MANUAL-01
JE-1005,2026-08-21,6100,Duplicate software subscription,85.00,0.00,ACH-8102
JE-1005,2026-08-21,1000,Duplicate software subscription,0.00,85.00,ACH-8102
JE-1006,2026-08-24,6100,Monthly bank service charge,12.00,0.00,FEE-0820
JE-1006,2026-08-24,1000,Monthly bank service charge,0.00,12.00,FEE-0820
JE-1007,2026-08-25,6200,Office supplies restock,60.00,0.00,ACH-8105
JE-1007,2026-08-25,1000,Office supplies restock,0.00,60.00,ACH-8105
JE-1008,2026-08-27,6200,Equipment purchase,250.00,0.00,ACH-8106
JE-1008,2026-08-27,1000,Equipment purchase,0.00,250.00,ACH-8106
JE-1009,2026-08-29,1000,Client payment received,900.00,0.00,DEP-8107
JE-1009,2026-08-29,1100,Client payment received,0.00,900.00,DEP-8107
